team_size,trial,work_iterations,elapsed_ms
1,1,2000000,10.007
1,2,2000000,9.939
1,3,2000000,9.803
1,4,2000000,9.658
1,5,2000000,9.518
2,1,2000000,11.045
2,2,2000000,10.789
2,3,2000000,11.092
2,4,2000000,10.692
2,5,2000000,11.428
4,1,2000000,12.815
4,2,2000000,12.749
4,3,2000000,12.043
4,4,2000000,13.044
4,5,2000000,12.033
8,1,2000000,21.624
8,2,2000000,17.926
8,3,2000000,17.711
8,4,2000000,16.340
8,5,2000000,16.105
16,1,2000000,35.618
16,2,2000000,31.019
16,3,2000000,29.895
16,4,2000000,28.032
16,5,2000000,27.491
32,1,2000000,55.792
32,2,2000000,53.745
32,3,2000000,54.683
32,4,2000000,54.315
32,5,2000000,53.885
64,1,2000000,104.948
64,2,2000000,104.888
64,3,2000000,107.451
64,4,2000000,116.452
64,5,2000000,105.664
