kind,p,trial,n,time_ms,pi,abs_error
serial,1,1,100000000,61.964,3.141592653590426,6.3327e-13
reduction,1,1,100000000,336.568,3.141592653589794,4.4409e-16
reduction,1,2,100000000,305.002,3.141592653589794,4.4409e-16
reduction,1,3,100000000,298.671,3.141592653589794,4.4409e-16
reduction,2,1,100000000,169.770,3.141592653589794,4.4409e-16
reduction,2,2,100000000,174.144,3.141592653589794,4.4409e-16
reduction,2,3,100000000,196.324,3.141592653589794,4.4409e-16
reduction,4,1,100000000,96.566,3.141592653589794,4.4409e-16
reduction,4,2,100000000,99.143,3.141592653589794,4.4409e-16
reduction,4,3,100000000,102.999,3.141592653589794,4.4409e-16
reduction,8,1,100000000,67.219,3.141592653589794,4.4409e-16
reduction,8,2,100000000,67.383,3.141592653589794,4.4409e-16
reduction,8,3,100000000,73.954,3.141592653589794,4.4409e-16
reduction,16,1,100000000,88.547,3.141592653589794,4.4409e-16
reduction,16,2,100000000,100.460,3.141592653589794,4.4409e-16
reduction,16,3,100000000,62.716,3.141592653589794,4.4409e-16
race,1,1,1000000,4.678,3.141592653589764,2.8866e-14
race,1,2,1000000,1.141,3.141592653589764,2.8866e-14
race,1,3,1000000,0.810,3.141592653589764,2.8866e-14
race,2,1,1000000,0.548,1.528699633339273,1.6129e+00
race,2,2,1000000,0.559,1.854590436003323,1.2870e+00
race,2,3,1000000,0.427,1.392297889345192,1.7493e+00
race,4,1,1000000,0.435,1.665070574910097,1.4765e+00
race,4,2,1000000,0.386,1.098656311162171,2.0429e+00
race,4,3,1000000,0.380,1.141050986477049,2.0005e+00
race,8,1,1000000,0.468,1.580148881793522,1.5614e+00
race,8,2,1000000,0.477,1.723409349678366,1.4182e+00
race,8,3,1000000,0.404,1.440072512403413,1.7015e+00
critical,4,1,1000000,46.388,3.141592653589828,3.4639e-14
critical,4,2,1000000,23.375,3.141592653589872,7.8604e-14
critical,4,3,1000000,9.467,3.141592653589851,5.8176e-14
