kind,p,trials,mean_time_ms,mean_abs_error,mean_pi
critical,4,3,26.410,5.713967e-14,3.141592653589850
race,1,3,2.210,2.886600e-14,3.141592653589764
race,2,3,0.511,1.549733e+00,1.591862652895929
race,4,3,0.400,1.839967e+00,1.301592624183106
race,8,3,0.450,1.560367e+00,1.581210247958434
reduction,1,3,313.414,4.440900e-16,3.141592653589794
reduction,2,3,180.079,4.440900e-16,3.141592653589794
reduction,4,3,99.569,4.440900e-16,3.141592653589794
reduction,8,3,69.519,4.440900e-16,3.141592653589794
reduction,16,3,83.908,4.440900e-16,3.141592653589794
serial,1,1,61.964,6.332700e-13,3.141592653590426
