policy,p,chunk,trial,width,height,max_iter,time_ms,imbalance,checksum
static,2,1,1,640,360,500,20.339,0.00793,11681458
static,2,1,2,640,360,500,16.329,0.00793,11681458
static,2,1,3,640,360,500,15.147,0.00793,11681458
static,2,16,1,640,360,500,16.671,0.05889,11681458
static,2,16,2,640,360,500,15.419,0.05889,11681458
static,2,16,3,640,360,500,15.296,0.05889,11681458
static,2,64,1,640,360,500,17.634,0.35807,11681458
static,2,64,2,640,360,500,17.516,0.35807,11681458
static,2,64,3,640,360,500,17.539,0.35807,11681458
static,2,256,1,640,360,500,29.823,1.94849,11681458
static,2,256,2,640,360,500,28.968,1.94849,11681458
static,2,256,3,640,360,500,28.930,1.94849,11681458
static,4,1,1,640,360,500,8.371,0.01338,11681458
static,4,1,2,640,360,500,8.214,0.01338,11681458
static,4,1,3,640,360,500,8.300,0.01338,11681458
static,4,16,1,640,360,500,8.361,0.06856,11681458
static,4,16,2,640,360,500,8.503,0.06856,11681458
static,4,16,3,640,360,500,8.350,0.06856,11681458
static,4,64,1,640,360,500,17.426,2.23734,11681458
static,4,64,2,640,360,500,17.466,2.23734,11681458
static,4,64,3,640,360,500,17.510,2.23734,11681458
static,4,256,1,640,360,500,28.853,3.94849,11681458
static,4,256,2,640,360,500,28.929,3.94849,11681458
static,4,256,3,640,360,500,29.013,3.94849,11681458
static,8,1,1,640,360,500,5.846,0.05502,11681458
static,8,1,2,640,360,500,5.565,0.05502,11681458
static,8,1,3,640,360,500,6.515,0.05502,11681458
static,8,16,1,640,360,500,7.401,1.05010,11681458
static,8,16,2,640,360,500,7.141,1.05010,11681458
static,8,16,3,640,360,500,7.474,1.05010,11681458
static,8,64,1,640,360,500,17.488,4.59541,11681458
static,8,64,2,640,360,500,17.456,4.59541,11681458
static,8,64,3,640,360,500,17.550,4.59541,11681458
static,8,256,1,640,360,500,29.006,7.89697,11681458
static,8,256,2,640,360,500,29.482,7.89697,11681458
static,8,256,3,640,360,500,29.332,7.89697,11681458
static,16,1,1,640,360,500,6.279,0.10783,11681458
static,16,1,2,640,360,500,5.828,0.10783,11681458
static,16,1,3,640,360,500,5.821,0.10783,11681458
static,16,16,1,640,360,500,7.499,2.90556,11681458
static,16,16,2,640,360,500,7.308,2.90556,11681458
static,16,16,3,640,360,500,7.861,2.90556,11681458
static,16,64,1,640,360,500,17.468,9.19081,11681458
static,16,64,2,640,360,500,17.693,9.19081,11681458
static,16,64,3,640,360,500,17.637,9.19081,11681458
static,16,256,1,640,360,500,28.837,15.79394,11681458
static,16,256,2,640,360,500,28.851,15.79394,11681458
static,16,256,3,640,360,500,28.881,15.79394,11681458
dynamic,2,1,1,640,360,500,15.407,0.00212,11681458
dynamic,2,1,2,640,360,500,15.292,0.00072,11681458
dynamic,2,1,3,640,360,500,15.289,0.00168,11681458
dynamic,2,16,1,640,360,500,15.931,0.02745,11681458
dynamic,2,16,2,640,360,500,15.898,0.02745,11681458
dynamic,2,16,3,640,360,500,15.997,0.02745,11681458
dynamic,2,64,1,640,360,500,17.680,0.31915,11681458
dynamic,2,64,2,640,360,500,17.883,0.31915,11681458
dynamic,2,64,3,640,360,500,17.657,0.31915,11681458
