policy,p,chunk,trials,mean_time_ms,mean_imbalance,checksum_consistent
dynamic,2,1,3,15.329,0.00151,True
dynamic,2,16,3,15.942,0.02745,True
dynamic,2,64,3,17.740,0.31915,True
dynamic,2,256,3,29.491,1.94849,True
dynamic,4,1,3,9.246,0.21668,True
dynamic,4,16,3,8.614,0.04339,True
dynamic,4,64,3,17.635,2.22474,True
dynamic,4,256,3,29.382,3.94849,True
dynamic,8,1,3,5.779,0.89246,True
dynamic,8,16,3,7.252,0.93285,True
dynamic,8,64,3,17.696,4.59541,True
dynamic,8,256,3,29.434,7.89697,True
dynamic,16,1,3,5.465,2.49537,True
dynamic,16,16,3,7.525,2.95352,True
dynamic,16,64,3,17.637,9.19081,True
dynamic,16,256,3,29.548,15.79394,True
guided,2,1,3,16.070,0.07158,True
guided,2,16,3,15.847,0.07158,True
guided,2,64,3,17.660,0.31915,True
guided,2,256,3,29.377,1.94849,True
guided,4,1,3,8.642,0.07020,True
guided,4,16,3,8.416,0.02879,True
guided,4,64,3,17.709,2.22474,True
guided,4,256,3,29.409,3.94849,True
guided,8,1,3,5.526,0.48978,True
guided,8,16,3,7.204,1.05760,True
guided,8,64,3,17.686,4.59541,True
guided,8,256,3,29.388,7.89697,True
guided,16,1,3,5.716,2.47487,True
guided,16,16,3,7.180,2.99727,True
guided,16,64,3,17.626,9.19081,True
guided,16,256,3,29.442,15.79394,True
static,2,1,3,17.272,0.00793,True
static,2,16,3,15.795,0.05889,True
static,2,64,3,17.563,0.35807,True
static,2,256,3,29.240,1.94849,True
static,4,1,3,8.295,0.01338,True
static,4,16,3,8.405,0.06856,True
static,4,64,3,17.467,2.23734,True
static,4,256,3,28.932,3.94849,True
static,8,1,3,5.975,0.05502,True
static,8,16,3,7.339,1.05010,True
static,8,64,3,17.498,4.59541,True
static,8,256,3,29.273,7.89697,True
static,16,1,3,5.976,0.10783,True
static,16,16,3,7.556,2.90556,True
static,16,64,3,17.599,9.19081,True
static,16,256,3,28.856,15.79394,True
