group,mode,threads,chunk,run,seconds,max_steps,checksum,hits
seq,seq,1,0,1,1.663618088,688,117734093,10796034
seq,seq,1,0,2,1.631476879,688,117734093,10796034
seq,seq,1,0,3,1.663732052,688,117734093,10796034
scaling,static,1,0,1,1.631803989,688,117734093,10796034
scaling,static,1,0,2,1.630078793,688,117734093,10796034
scaling,static,1,0,3,1.632610083,688,117734093,10796034
scaling,static,2,0,1,0.870669127,688,117734093,10796034
scaling,static,2,0,2,0.870285034,688,117734093,10796034
scaling,static,2,0,3,0.871903896,688,117734093,10796034
scaling,static,4,0,1,0.479294777,688,117734093,10796034
scaling,static,4,0,2,0.478374004,688,117734093,10796034
scaling,static,4,0,3,0.476174116,688,117734093,10796034
scaling,static,8,0,1,0.328580856,688,117734093,10796034
scaling,static,8,0,2,0.302605152,688,117734093,10796034
scaling,static,8,0,3,0.295997143,688,117734093,10796034
false-sharing,false_share,8,0,1,0.353388786,688,117734093,10796034
false-sharing,false_share,8,0,2,0.349514008,688,117734093,10796034
false-sharing,false_share,8,0,3,0.341373205,688,117734093,10796034
false-sharing,reduction,8,0,1,0.303724051,688,117734093,10796034
false-sharing,reduction,8,0,2,0.308345079,688,117734093,10796034
false-sharing,reduction,8,0,3,0.301247835,688,117734093,10796034
schedule,static,8,0,1,0.319999933,688,117734093,10796034
schedule,static,8,0,2,0.306864977,688,117734093,10796034
schedule,static,8,0,3,0.297688007,688,117734093,10796034
schedule,static_chunk,8,1000,1,0.297288895,688,117734093,10796034
schedule,static_chunk,8,1000,2,0.310883999,688,117734093,10796034
schedule,static_chunk,8,1000,3,0.298208952,688,117734093,10796034
schedule,dynamic,8,100,1,0.287341833,688,117734093,10796034
schedule,dynamic,8,100,2,0.283674002,688,117734093,10796034
schedule,dynamic,8,100,3,0.284845114,688,117734093,10796034
schedule,dynamic,8,10000,1,0.299875021,688,117734093,10796034
schedule,dynamic,8,10000,2,0.287348986,688,117734093,10796034
schedule,dynamic,8,10000,3,0.286962986,688,117734093,10796034
schedule,guided,8,0,1,0.282379866,688,117734093,10796034
schedule,guided,8,0,2,0.281543970,688,117734093,10796034
schedule,guided,8,0,3,0.281599998,688,117734093,10796034
